Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
QQQ,Invesco QQQ,Equity,"$76,963,702,044.00",-16.44%,"51,729,868",$177.66,0.60%,No,No,0.19%,-24.33%,-0.54%,38.13%,72.51%,"$3,017,993,148.50","$242,905,797.00","$628,216,442.50","$5,070,648,607.00","$17,490,517,058.00","$15,201,306,642.00",Large Cap Growth Equities,1999-03-10,0.20%,N/A,$1.58,2019-12-23,$0.46,0.90%,22.66,1.16,104,54.40%,35%,15%,1099,$167.69,$235.18,$171.70,$183.56,38.58,A-,A+,A-,A-,C+,B,B,5.55,46.18%,51.11%,49.21,9.03%,8.17%
VNQ,Vanguard Real Estate Index Fund,Real Estate,"$25,067,909,157.00",-31.78%,"7,012,374",$62.81,0.35%,No,No,-14.08%,-36.24%,-23.15%,-13.22%,-8.06%,"$24,509,782.59","-$192,949,175.01","-$569,243,116.67","$602,342,832.06","-$525,263,940.61","$5,900,105,634.63",Real Estate,2004-09-23,0.12%,2 Platforms,$3.18,2020-03-10,$0.65,5.08%,34.60,0.54,181,44.38%,35%,15%,1099,$61.96,$106.18,$60.46,$64.71,30.02,A+,A,A,A-,B+,A-,A,4.41,65.90%,26.51%,118.0,0.64%,8.20%
XLK,Technology Select Sector SPDR Fund,Equity,"$21,792,360,818.00",-18.35%,"17,802,040",$74.85,0.36%,No,No,-0.66%,-26.42%,3.20%,45.87%,90.35%,"$649,358,609.00","$503,306,411.00","$567,694,999.00","$2,254,745,387.00","-$835,476,448.00","$430,603,863.07",Technology Equities,1998-12-16,0.13%,N/A,$1.06,2019-12-20,$0.29,1.43%,22.73,1.14,72,68.19%,35%,15%,1099,$70.98,$101.43,$72.18,$77.45,38.65,A,A+,A,C+,A+,A-,B+,6.39,79.89%,74.80%,21.49,0.32%,5.54%
VGT,Vanguard Information Technology ETF,Equity,"$20,886,542,560.00",-20.05%,"1,118,964",$195.00,0.16%,No,No,-1.44%,-27.68%,-0.65%,49.33%,92.52%,"$898,170,372.59","$418,634,081.04","$123,464,381.83","$2,598,789,656.12","$3,605,401,347.39","$6,038,458,449.93",Technology Equities,2004-01-30,0.10%,Vanguard,$2.96,2020-03-10,$0.84,1.54%,26.60,1.19,322,60.44%,35%,15%,1099,$184.78,$269.73,$187.55,$202.00,37.29,A+,A,A,B-,A,A-,A+,6.18,72.24%,69.46%,22.36,0.77%,5.22%
XLV,Health Care Select Sector SPDR Fund,Equity,"$17,861,011,678.00",-19.25%,"12,379,453",$82.25,-2.05%,No,No,-2.98%,-20.43%,-8.61%,15.31%,20.89%,"$1,868,356,559.00","$1,115,018,577.00","$1,487,966,056.50","$651,690,404.00","$617,691,242.50","$3,081,508,442.34",Health & Biotech Equities,1998-12-16,0.13%,N/A,$2.45,2019-12-30,$1.33,2.92%,17.30,0.90,61,51.99%,35%,15%,1099,$80.77,$104.96,N/A,N/A,36.88,A,A+,A,B+,B+,A-,B+,5.57,70.94%,51.55%,18.49,0.00%,13.10%
XLF,Financial Select Sector SPDR Fund,Equity,"$13,461,116,169.00",-36.29%,"68,783,152",$19.61,2.19%,No,No,-3.73%,-36.88%,-23.83%,-15.56%,6.74%,"-$3,412,294,032.00","-$1,716,958,224.50","-$3,919,696,560.00","-$6,920,478,882.00","-$8,756,844,723.00","-$1,836,561,665.92",Financials Equities,1998-12-16,0.13%,N/A,$0.57,2019-12-20,$0.16,3.00%,13.92,1.14,67,56.12%,35%,15%,1099,$17.72,$32.16,$18.52,$20.30,32.24,A,A+,A,A-,B+,B-,B+,4.16,28.19%,22.26%,39.99,12.76%,0.24%
XLP,Consumer Staples Select Sector SPDR Fund,Equity,"$13,456,136,637.00",-14.43%,"16,195,832",$53.89,-3.34%,No,No,3.30%,-16.50%,1.02%,5.96%,26.12%,"$1,881,231,096.00","$875,919,876.00","$1,539,632,287.00","$2,509,701,939.00","$5,110,708,771.00","$3,527,223,668.75",Consumer Staples Equities,1998-12-16,0.13%,N/A,$1.62,2019-12-20,$0.51,2.92%,20.86,0.58,34,71.97%,35%,15%,1099,$52.25,$65.84,N/A,N/A,39.93,A,A+,A,B,A-,A,B+,6.87,82.67%,84.41%,60.45,12.12%,17.07%
XLU,Utilities Select Sector SPDR Fund,Equity,"$10,071,623,753.00",-19.62%,"21,121,092",$51.94,-5.82%,No,No,-5.03%,-26.28%,-7.47%,10.91%,35.44%,"$1,266,805,964.50","-$207,992,222.00","$1,090,428,814.50","$1,477,769,253.50","$3,414,429,397.50","$2,551,369,377.11",Utilities Equities,1998-12-16,0.13%,N/A,$1.91,2019-12-20,$0.50,3.47%,20.55,0.16,29,63.57%,35%,15%,1099,$51.19,$74.09,$50.85,$53.95,35.31,A,A+,A,B+,A,A,B-,7.61,79.17%,93.75%,2785.34,67.97%,5.90%
GDX,VanEck Vectors Gold Miners ETF,Equity,"$9,556,512,560.00",-27.36%,"66,576,884",$21.27,8.08%,No,No,-4.66%,-28.50%,-5.35%,-4.25%,16.56%,"-$392,851,626.50","-$369,427,734.00","-$800,224,730.00","-$743,038,455.00","-$1,992,123,088.00","$2,384,677,646.00",Materials,2006-05-22,0.53%,N/A,$0.19,2019-12-23,$0.19,0.90%,30.07,-0.17,48,66.05%,35%,15%,1099,$19.60,$33.64,$18.71,$24.40,40.03,B+,A+,A-,C+,C+,B+,B-,6.24,58.06%,71.18%,456.69,4.49%,0.00%
XLY,Consumer Discretionary Select Sector SPDR Fund,Equity,"$9,483,357,994.00",-27.84%,"6,598,793",$90.50,3.49%,No,No,-6.06%,-31.61%,-18.67%,7.38%,27.31%,"-$798,703,546.50","-$512,499,529.50","-$1,307,859,826.50","-$318,035,143.00","-$3,301,922,536.00","-$3,372,172,924.07",Consumer Discretionary Equities,1998-12-16,0.13%,N/A,$1.60,2019-12-20,$0.41,1.83%,22.73,1.09,65,73.33%,35%,15%,1099,$84.34,$136.24,$85.44,$94.31,32.17,A,A+,A,B+,A,A-,B+,4.77,46.15%,35.11%,55.25,26.69%,0.64%
